"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"6","b_Intercept",-0.0609210576245879,0.95,-0.132761576839981,0.0187122381142825,0.937466666666667,0.95,-0.0559698015047046,0.0559698015047046,0.454392365983722,1.02648287662122,298.754672470487,476.60576143822,6.16668965321562
"2","b_efflev_c",0.110541978720605,0.95,0.101461536734812,0.118645877345225,1,0.95,-0.0559698015047046,0.0559698015047046,0,0.999814037647721,6838.58919038504,476.60576143822,6.16668965321562
"8","b_rewlev_c",0.00143499358352543,0.95,-0.0176234805417836,0.0202735135721216,0.5576,0.95,-0.0559698015047046,0.0559698015047046,1,0.9997583212584,6586.00034453115,476.60576143822,6.16668965321562
"1","b_cuecor_z_c",-0.0082651488396263,0.95,-0.0170759491309294,0.00166485325204385,0.955733333333333,0.95,-0.0559698015047046,0.0559698015047046,1,0.999880244568158,6679.23393302548,476.60576143822,6.16668965321562
"10","b_trial_c0",-0.106030483613732,0.95,-0.122541519836023,-0.0896457839302811,1,0.95,-0.0559698015047046,0.0559698015047046,0,0.999885226531662,6521.62937313714,476.60576143822,6.16668965321562
"7","b_last_err_c",0.0120518244346008,0.95,-0.0191001229384529,0.0424310039637432,0.776266666666667,0.95,-0.0559698015047046,0.0559698015047046,1,1.00016238291794,6336.7303786819,476.60576143822,6.16668965321562
"4","b_efflev_c:rewlev_c",0.00819335806508122,0.95,-0.00775141572565505,0.0263088853859919,0.832933333333333,0.95,-0.0559698015047046,0.0559698015047046,1,1.00000919330792,6300.69566212721,476.60576143822,6.16668965321562
"3","b_efflev_c:cuecor_z_c",-0.00659252354297167,0.95,-0.015275215325365,0.00222134146180901,0.930133333333333,0.95,-0.0559698015047046,0.0559698015047046,1,0.999755784744551,7609.57662932955,476.60576143822,6.16668965321562
"9","b_rewlev_c:cuecor_z_c",-0.00595744114459493,0.95,-0.0254437911334769,0.0125591059143452,0.731066666666667,0.95,-0.0559698015047046,0.0559698015047046,1,0.999706059466674,7144.63592987895,476.60576143822,6.16668965321562
"5","b_efflev_c:rewlev_c:cuecor_z_c",-0.0036974362485651,0.95,-0.021224208738967,0.0123176038815234,0.6604,0.95,-0.0559698015047046,0.0559698015047046,1,1.00007348186855,6078.19593674866,476.60576143822,6.16668965321562
